BatchSize,Approach,Time(sec)
10,sequential,0.23
10,parallel,0.26
10,pipeline,0.25
100,sequential,0.22
100,parallel,0.25
100,pipeline,0.25
750,sequential,0.27
750,parallel,0.26
750,pipeline,0.27
5000,sequential,0.22
5000,parallel,0.24
5000,pipeline,0.27
10000,sequential,0.3
10000,parallel,0.27
10000,pipeline,0.25
50000,sequential,0.46
50000,parallel,0.47
50000,pipeline,0.46
100000,sequential,0.74
100000,parallel,1.03
100000,pipeline,0.99
200000,sequential,1.15
200000,parallel,1.65
200000,pipeline,1.61
500000,sequential,2.09
500000,parallel,3.01
500000,pipeline,3.32
1000000,sequential,3.99
1000000,parallel,5.29
1000000,pipeline,5.73
2000000,sequential,7.34
2000000,parallel,10.11
2000000,pipeline,11.21
5000000,sequential,20.66
5000000,parallel,28.9
5000000,pipeline,30.22
