Summary:
  Temperature Count: 5907
  Humidity Count: 5907
Alerts:
  [high_temp_or_humidity]
Date: 2024-10-30, Temp: 31, Humidity: 81, Light: 160, Time: 14:21:32, Recorded By: Sensor4
Date: 2024-04-08, Temp: 36, Humidity: 100, Light: 38, Time: 05:17:56, Recorded By: Sensor2
Date: 2024-10-21, Temp: 35, Humidity: 73, Light: 232, Time: 20:42:01, Recorded By: Sensor1
Date: 2024-11-26, Temp: 32, Humidity: 86, Light: 147, Time: 17:51:18, Recorded By: Sensor3
Date: 2024-11-03, Temp: 38, Humidity: 77, Light: 233, Time: 04:05:28, Recorded By: Sensor4
Date: 2024-06-22, Temp: 34, Humidity: 86, Light: 27, Time: 11:54:44, Recorded By: Sensor3
Date: 2024-06-01, Temp: 31, Humidity: 72, Light: 181, Time: 18:26:56, Recorded By: Sensor4
Date: 2024-01-23, Temp: 30, Humidity: 78, Light: 25, Time: 14:02:02, Recorded By: Sensor4
Date: 2024-08-09, Temp: 32, Humidity: 86, Light: 300, Time: 22:44:51, Recorded By: Sensor3
Date: 2024-02-25, Temp: 34, Humidity: 94, Light: 46, Time: 22:21:24, Recorded By: Sensor1
Date: 2024-08-14, Temp: 36, Humidity: 92, Light: 265, Time: 11:49:13, Recorded By: Sensor4
Date: 2024-01-26, Temp: 36, Humidity: 87, Light: 111, Time: 11:15:22, Recorded By: Sensor2
Date: 2024-02-27, Temp: 31, Humidity: 89, Light: 83, Time: 18:18:15, Recorded By: Sensor2
Date: 2024-02-06, Temp: 37, Humidity: 97, Light: 282, Time: 10:53:19, Recorded By: Sensor3
Date: 2024-05-09, Temp: 30, Humidity: 83, Light: 30, Time: 14:47:20, Recorded By: Sensor3
Date: 2024-10-31, Temp: 30, Humidity: 86, Light: 39, Time: 04:20:16, Recorded By: Sensor1
Date: 2024-07-29, Temp: 34, Humidity: 79, Light: 195, Time: 04:29:47, Recorded By: Sensor4
Date: 2024-05-30, Temp: 32, Humidity: 95, Light: 243, Time: 04:36:42, Recorded By: Sensor3
Date: 2024-06-14, Temp: 34, Humidity: 83, Light: 246, Time: 14:41:10, Recorded By: Sensor2
Date: 2024-05-28, Temp: 36, Humidity: 77, Light: 126, Time: 23:54:32, Recorded By: Sensor3
Date: 2024-11-11, Temp: 38, Humidity: 91, Light: 251, Time: 08:49:39, Recorded By: Sensor3
Date: 2024-05-16, Temp: 40, Humidity: 87, Light: 92, Time: 20:52:02, Recorded By: Sensor2
Date: 2024-12-19, Temp: 33, Humidity: 91, Light: 300, Time: 18:45:26, Recorded By: Sensor3
Date: 2024-07-10, Temp: 40, Humidity: 73, Light: 261, Time: 20:42:34, Recorded By: Sensor4
Date: 2024-04-17, Temp: 38, Humidity: 70, Light: 225, Time: 10:34:50, Recorded By: Sensor3
Date: 2024-09-18, Temp: 37, Humidity: 74, Light: 250, Time: 13:06:28, Recorded By: Sensor4
Date: 2024-03-08, Temp: 37, Humidity: 72, Light: 144, Time: 23:30:27, Recorded By: Sensor4
Date: 2024-02-01, Temp: 39, Humidity: 85, Light: 46, Time: 07:02:50, Recorded By: Sensor1
Date: 2024-02-24, Temp: 39, Humidity: 100, Light: 162, Time: 18:15:05, Recorded By: Sensor4
Date: 2024-03-30, Temp: 36, Humidity: 80, Light: 85, Time: 13:41:39, Recorded By: Sensor1
Date: 2024-07-28, Temp: 32, Humidity: 99, Light: 40, Time: 06:54:42, Recorded By: Sensor2
Date: 2024-09-25, Temp: 32, Humidity: 86, Light: 197, Time: 05:10:59, Recorded By: Sensor2
Date: 2024-12-10, Temp: 37, Humidity: 87, Light: 182, Time: 15:56:03, Recorded By: Sensor4
Date: 2024-07-18, Temp: 36, Humidity: 71, Light: 45, Time: 09:12:46, Recorded By: Sensor1
Date: 2024-03-17, Temp: 34, Humidity: 100, Light: 124, Time: 14:39:24, Recorded By: Sensor4
Date: 2024-11-12, Temp: 32, Humidity: 82, Light: 91, Time: 17:41:46, Recorded By: Sensor1
Date: 2024-12-23, Temp: 30, Humidity: 89, Light: 185, Time: 15:36:06, Recorded By: Sensor4
Date: 2024-02-03, Temp: 40, Humidity: 86, Light: 210, Time: 21:54:04, Recorded By: Sensor2
Date: 2024-02-09, Temp: 31, Humidity: 78, Light: 195, Time: 03:44:13, Recorded By: Sensor1
Date: 2024-06-18, Temp: 35, Humidity: 78, Light: 157, Time: 16:30:41, Recorded By: Sensor3
Date: 2024-05-15, Temp: 40, Humidity: 80, Light: 161, Time: 18:35:21, Recorded By: Sensor2
Date: 2024-12-18, Temp: 32, Humidity: 100, Light: 56, Time: 15:43:42, Recorded By: Sensor4
Date: 2024-01-14, Temp: 38, Humidity: 70, Light: 220, Time: 06:47:51, Recorded By: Sensor3
Date: 2024-06-19, Temp: 31, Humidity: 98, Light: 264, Time: 01:34:25, Recorded By: Sensor3
Date: 2024-01-11, Temp: 39, Humidity: 75, Light: 197, Time: 01:36:22, Recorded By: Sensor4
Date: 2024-10-27, Temp: 37, Humidity: 90, Light: 30, Time: 07:23:47, Recorded By: Sensor1
Date: 2024-02-10, Temp: 30, Humidity: 86, Light: 270, Time: 12:19:34, Recorded By: Sensor2
Date: 2024-03-03, Temp: 37, Humidity: 95, Light: 101, Time: 19:44:39, Recorded By: Sensor1
Date: 2024-05-26, Temp: 40, Humidity: 80, Light: 149, Time: 21:35:44, Recorded By: Sensor3
Date: 2024-07-26, Temp: 37, Humidity: 92, Light: 245, Time: 16:33:33, Recorded By: Sensor1
Date: 2024-04-13, Temp: 40, Humidity: 79, Light: 263, Time: 20:24:34, Recorded By: Sensor3
Date: 2024-03-22, Temp: 36, Humidity: 92, Light: 295, Time: 22:30:54, Recorded By: Sensor1
Date: 2024-11-02, Temp: 37, Humidity: 98, Light: 277, Time: 19:18:02, Recorded By: Sensor1
Date: 2024-04-22, Temp: 33, Humidity: 87, Light: 148, Time: 23:40:40, Recorded By: Sensor4
Date: 2024-04-06, Temp: 39, Humidity: 87, Light: 28, Time: 19:32:52, Recorded By: Sensor1
Date: 2024-11-29, Temp: 40, Humidity: 84, Light: 155, Time: 18:12:18, Recorded By: Sensor3
Date: 2024-08-09, Temp: 39, Humidity: 85, Light: 181, Time: 01:17:35, Recorded By: Sensor3
Date: 2024-02-24, Temp: 31, Humidity: 73, Light: 34, Time: 09:29:44, Recorded By: Sensor2
Date: 2024-02-17, Temp: 39, Humidity: 100, Light: 169, Time: 11:40:22, Recorded By: Sensor2
Date: 2024-02-24, Temp: 37, Humidity: 77, Light: 251, Time: 20:37:25, Recorded By: Sensor1
Date: 2024-06-17, Temp: 34, Humidity: 71, Light: 102, Time: 10:50:12, Recorded By: Sensor1
Date: 2024-02-23, Temp: 30, Humidity: 100, Light: 240, Time: 04:15:13, Recorded By: Sensor2
Date: 2024-09-09, Temp: 36, Humidity: 88, Light: 265, Time: 12:39:25, Recorded By: Sensor2
Date: 2024-10-02, Temp: 36, Humidity: 90, Light: 34, Time: 13:50:24, Recorded By: Sensor1
Date: 2024-01-15, Temp: 38, Humidity: 90, Light: 269, Time: 13:28:51, Recorded By: Sensor3
Date: 2024-03-14, Temp: 37, Humidity: 97, Light: 222, Time: 03:36:45, Recorded By: Sensor1
Date: 2024-06-11, Temp: 30, Humidity: 100, Light: 221, Time: 13:22:42, Recorded By: Sensor4
Date: 2024-03-04, Temp: 39, Humidity: 72, Light: 145, Time: 07:15:40, Recorded By: Sensor4
Date: 2024-10-12, Temp: 30, Humidity: 100, Light: 91, Time: 14:10:55, Recorded By: Sensor1
Date: 2024-09-30, Temp: 36, Humidity: 91, Light: 192, Time: 03:24:21, Recorded By: Sensor3
Date: 2024-05-10, Temp: 40, Humidity: 72, Light: 129, Time: 08:07:03, Recorded By: Sensor3
Date: 2024-01-06, Temp: 37, Humidity: 79, Light: 37, Time: 06:51:56, Recorded By: Sensor4
Date: 2024-09-12, Temp: 33, Humidity: 97, Light: 248, Time: 16:09:50, Recorded By: Sensor3
Date: 2024-05-29, Temp: 38, Humidity: 73, Light: 46, Time: 10:01:09, Recorded By: Sensor2
Date: 2024-03-11, Temp: 32, Humidity: 88, Light: 217, Time: 20:32:05, Recorded By: Sensor4
Date: 2024-02-24, Temp: 40, Humidity: 83, Light: 28, Time: 15:52:50, Recorded By: Sensor1
Date: 2024-04-26, Temp: 33, Humidity: 98, Light: 181, Time: 13:24:40, Recorded By: Sensor1
Date: 2024-04-22, Temp: 30, Humidity: 72, Light: 214, Time: 07:25:31, Recorded By: Sensor4
Date: 2024-05-07, Temp: 36, Humidity: 89, Light: 275, Time: 02:43:58, Recorded By: Sensor2
Date: 2024-01-03, Temp: 35, Humidity: 72, Light: 34, Time: 20:41:06, Recorded By: Sensor4
Date: 2024-02-27, Temp: 31, Humidity: 80, Light: 167, Time: 14:41:08, Recorded By: Sensor2
Date: 2024-07-13, Temp: 31, Humidity: 88, Light: 25, Time: 18:46:28, Recorded By: Sensor2
Date: 2024-06-07, Temp: 32, Humidity: 73, Light: 147, Time: 15:47:34, Recorded By: Sensor1
Date: 2024-02-15, Temp: 39, Humidity: 91, Light: 110, Time: 12:43:12, Recorded By: Sensor1
Date: 2024-10-30, Temp: 30, Humidity: 85, Light: 244, Time: 09:03:55, Recorded By: Sensor3
Date: 2024-07-04, Temp: 40, Humidity: 88, Light: 70, Time: 11:50:43, Recorded By: Sensor2
Date: 2024-07-01, Temp: 37, Humidity: 79, Light: 231, Time: 21:05:42, Recorded By: Sensor3
Date: 2024-09-13, Temp: 32, Humidity: 90, Light: 139, Time: 05:04:22, Recorded By: Sensor3
Date: 2024-07-06, Temp: 34, Humidity: 82, Light: 244, Time: 05:25:27, Recorded By: Sensor3
Date: 2024-01-16, Temp: 40, Humidity: 71, Light: 183, Time: 15:31:18, Recorded By: Sensor1
Date: 2024-01-17, Temp: 34, Humidity: 99, Light: 203, Time: 21:27:49, Recorded By: Sensor3
Date: 2024-03-01, Temp: 39, Humidity: 71, Light: 250, Time: 12:12:24, Recorded By: Sensor2
Date: 2024-08-15, Temp: 30, Humidity: 72, Light: 156, Time: 20:50:02, Recorded By: Sensor4
Date: 2024-12-29, Temp: 40, Humidity: 79, Light: 108, Time: 02:45:28, Recorded By: Sensor2
Date: 2024-08-30, Temp: 38, Humidity: 92, Light: 93, Time: 03:05:44, Recorded By: Sensor4
Date: 2024-01-17, Temp: 39, Humidity: 98, Light: 72, Time: 15:32:20, Recorded By: Sensor4
Date: 2024-11-27, Temp: 36, Humidity: 90, Light: 131, Time: 23:07:03, Recorded By: Sensor1
Date: 2024-11-25, Temp: 40, Humidity: 79, Light: 265, Time: 05:42:36, Recorded By: Sensor2
Date: 2024-06-21, Temp: 39, Humidity: 84, Light: 217, Time: 09:44:33, Recorded By: Sensor3
Date: 2024-08-19, Temp: 36, Humidity: 84, Light: 192, Time: 22:06:26, Recorded By: Sensor4
Date: 2024-01-27, Temp: 39, Humidity: 94, Light: 203, Time: 13:33:06, Recorded By: Sensor1
Date: 2024-05-10, Temp: 39, Humidity: 78, Light: 198, Time: 04:16:52, Recorded By: Sensor4
Date: 2024-12-06, Temp: 30, Humidity: 77, Light: 262, Time: 08:06:47, Recorded By: Sensor2
Date: 2024-06-06, Temp: 32, Humidity: 83, Light: 215, Time: 04:29:27, Recorded By: Sensor4
Date: 2024-06-18, Temp: 33, Humidity: 87, Light: 65, Time: 16:31:32, Recorded By: Sensor4
Date: 2024-01-20, Temp: 32, Humidity: 72, Light: 92, Time: 06:08:13, Recorded By: Sensor4
Date: 2024-05-24, Temp: 34, Humidity: 83, Light: 207, Time: 17:10:57, Recorded By: Sensor1
Date: 2024-07-16, Temp: 30, Humidity: 73, Light: 258, Time: 05:41:29, Recorded By: Sensor3
Date: 2024-03-27, Temp: 40, Humidity: 87, Light: 138, Time: 01:18:24, Recorded By: Sensor3
Date: 2024-12-08, Temp: 38, Humidity: 84, Light: 296, Time: 09:27:34, Recorded By: Sensor2
Date: 2024-10-12, Temp: 36, Humidity: 91, Light: 125, Time: 06:55:50, Recorded By: Sensor4
Date: 2024-02-29, Temp: 35, Humidity: 95, Light: 39, Time: 14:28:42, Recorded By: Sensor1
Date: 2024-01-16, Temp: 38, Humidity: 75, Light: 143, Time: 09:50:21, Recorded By: Sensor3
Date: 2024-08-13, Temp: 39, Humidity: 83, Light: 138, Time: 07:29:56, Recorded By: Sensor2
Date: 2024-11-13, Temp: 35, Humidity: 95, Light: 292, Time: 21:27:54, Recorded By: Sensor1
Date: 2024-02-05, Temp: 39, Humidity: 94, Light: 72, Time: 08:05:31, Recorded By: Sensor1
Date: 2024-05-27, Temp: 33, Humidity: 82, Light: 162, Time: 06:20:05, Recorded By: Sensor4
Date: 2024-09-23, Temp: 33, Humidity: 72, Light: 40, Time: 18:19:09, Recorded By: Sensor3
Date: 2024-01-25, Temp: 36, Humidity: 88, Light: 196, Time: 22:30:02, Recorded By: Sensor2
Date: 2024-02-22, Temp: 31, Humidity: 94, Light: 146, Time: 10:08:26, Recorded By: Sensor1
Date: 2024-12-02, Temp: 38, Humidity: 93, Light: 298, Time: 15:01:03, Recorded By: Sensor2
Date: 2024-11-19, Temp: 37, Humidity: 94, Light: 296, Time: 09:49:30, Recorded By: Sensor3
Date: 2024-04-04, Temp: 38, Humidity: 86, Light: 298, Time: 20:45:21, Recorded By: Sensor2
Date: 2024-03-27, Temp: 34, Humidity: 100, Light: 58, Time: 11:43:48, Recorded By: Sensor3
Date: 2024-11-07, Temp: 38, Humidity: 83, Light: 268, Time: 04:58:01, Recorded By: Sensor1
Date: 2024-02-08, Temp: 35, Humidity: 99, Light: 69, Time: 21:01:13, Recorded By: Sensor1
Date: 2024-07-03, Temp: 37, Humidity: 93, Light: 107, Time: 18:50:16, Recorded By: Sensor3
Date: 2024-05-18, Temp: 39, Humidity: 81, Light: 288, Time: 18:22:56, Recorded By: Sensor1
Date: 2024-10-31, Temp: 37, Humidity: 95, Light: 97, Time: 04:33:22, Recorded By: Sensor1
Date: 2024-09-16, Temp: 35, Humidity: 92, Light: 30, Time: 06:45:33, Recorded By: Sensor3
Date: 2024-01-10, Temp: 36, Humidity: 71, Light: 291, Time: 18:15:57, Recorded By: Sensor2
Date: 2024-07-20, Temp: 33, Humidity: 90, Light: 171, Time: 03:49:19, Recorded By: Sensor3
Date: 2024-07-05, Temp: 40, Humidity: 87, Light: 229, Time: 01:04:57, Recorded By: Sensor2
Date: 2024-05-29, Temp: 37, Humidity: 88, Light: 182, Time: 13:09:16, Recorded By: Sensor3
Date: 2024-05-28, Temp: 38, Humidity: 74, Light: 267, Time: 22:16:21, Recorded By: Sensor4
Date: 2024-04-21, Temp: 35, Humidity: 76, Light: 295, Time: 18:37:58, Recorded By: Sensor2
Date: 2024-12-22, Temp: 31, Humidity: 84, Light: 159, Time: 22:35:25, Recorded By: Sensor3
Date: 2024-12-23, Temp: 34, Humidity: 90, Light: 53, Time: 20:16:48, Recorded By: Sensor4
Date: 2024-08-23, Temp: 39, Humidity: 79, Light: 204, Time: 08:01:20, Recorded By: Sensor2
